,Sector
MMM,Industrials
ABT,Health Care
ABBV,Health Care
ACHC,Health Care
ACN,Information Technology
AYI,Industrials
ADM,Consumer Staples
ADBE,Information Technology
ADP,Industrials
ADT,Consumer Discretionary
AAP,Consumer Discretionary
WMS,Industrials
ACM,Industrials
AES,Utilities
AFL,Financials
AGCO,Industrials
A,Health Care
ADC,Real Estate
AGNC,Financials
AIG,Financials
AL,Industrials
APD,Materials
AKAM,Information Technology
ALK,Industrials
ALB,Materials
AA,Materials
ARE,Real Estate
ALGN,Health Care
ALLE,Industrials
LNT,Utilities
ALSN,Industrials
ALL,Financials
ALLY,Financials
ALNY,Health Care
GOOGL,Communication Services
GOOG,Communication Services
AYX,Information Technology
MO,Consumer Staples
AMZN,Consumer Discretionary
AMC,Communication Services
AMD,Information Technology
DOX,Information Technology
AMED,Health Care
AEE,Utilities
AAL,Industrials
AEP,Utilities
AXP,Financials
AFG,Financials
AMH,Real Estate
AMT,Real Estate
AWK,Utilities
COLD,Real Estate
AMP,Financials
AME,Industrials
AMG,Financials
AMGN,Health Care
APH,Information Technology
ADI,Information Technology
NLY,Financials
ANSS,Information Technology
AM,Energy
AR,Energy
AON,Financials
APA,Energy
APLS,Health Care
AAPL,Information Technology
AMAT,Information Technology
ATR,Materials
APTV,Consumer Discretionary
ARMK,Consumer Discretionary
ACGL,Financials
ARES,Financials
ANET,Information Technology
AWI,Industrials
ARW,Information Technology
AJG,Financials
ASH,Materials
AIZ,Financials
AGO,Financials
T,Communication Services
ATO,Utilities
ADSK,Information Technology
AN,Consumer Discretionary
AZO,Consumer Discretionary
AVB,Real Estate
AGR,Utilities
AVY,Materials
CAR,Industrials
AVT,Information Technology
AXTA,Materials
AXS,Financials
AXON,Industrials
AZTA,Health Care
BKR,Energy
BALL,Materials
BAC,Financials
OZK,Financials
BBWI,Consumer Discretionary
BAX,Health Care
BDX,Health Care
WRB,Financials
BERY,Materials
BBY,Consumer Discretionary
BIO,Health Care
TECH,Health Care
BIIB,Health Care
BMRN,Health Care
BJ,Consumer Staples
BLK,Financials
BX,Financials
HRB,Consumer Discretionary
SQ,Financials
BK,Financials
BA,Industrials
BOKF,Financials
BKNG,Consumer Discretionary
BAH,Industrials
BWA,Consumer Discretionary
SAM,Consumer Staples
BXP,Real Estate
BSX,Health Care
BYD,Consumer Discretionary
BFAM,Consumer Discretionary
BHF,Financials
BMY,Health Care
BRX,Real Estate
AVGO,Information Technology
BR,Industrials
BEPC,Utilities
BRO,Financials
BRKR,Health Care
BC,Consumer Discretionary
BLDR,Industrials
BG,Consumer Staples
BURL,Consumer Discretionary
BWXT,Industrials
CHRW,Industrials
CABO,Communication Services
CACI,Industrials
CDNS,Information Technology
CZR,Consumer Discretionary
CPT,Real Estate
CPB,Consumer Staples
COF,Financials
CPRI,Consumer Discretionary
CAH,Health Care
CSL,Industrials
CG,Financials
KMX,Consumer Discretionary
CCL,Consumer Discretionary
CRI,Consumer Discretionary
CASY,Consumer Staples
CTLT,Health Care
CAT,Industrials
CBOE,Financials
CBRE,Real Estate
CDW,Information Technology
CE,Materials
CELH,Consumer Staples
COR,Health Care
CNC,Health Care
CNP,Utilities
CDAY,Information Technology
CF,Materials
CRL,Health Care
SCHW,Financials
CHTR,Communication Services
CHE,Health Care
CC,Materials
LNG,Energy
CHK,Energy
CVX,Energy
CMG,Consumer Discretionary
CHH,Consumer Discretionary
CB,Financials
CHD,Consumer Staples
CHDN,Consumer Discretionary
CIEN,Information Technology
CI,Health Care
CINF,Financials
CTAS,Industrials
CRUS,Information Technology
CSCO,Information Technology
C,Financials
CFG,Financials
CLH,Industrials
CWEN,Utilities
CLF,Materials
CLX,Consumer Staples
CME,Financials
CMS,Utilities
CNA,Financials
CNHI,Industrials
KO,Consumer Staples
CGNX,Information Technology
CTSH,Information Technology
COHR,Information Technology
CL,Consumer Staples
COLB,Financials
COLM,Consumer Discretionary
CMCSA,Communication Services
CMA,Financials
CBSH,Financials
ED,Utilities
CAG,Consumer Staples
COP,Energy
STZ,Consumer Staples
COO,Health Care
CPRT,Industrials
GLW,Information Technology
CSGP,Industrials
COST,Consumer Staples
CTRA,Energy
COTY,Consumer Staples
CUZ,Real Estate
CXT,Industrials
CACC,Financials
CROX,Consumer Discretionary
CCI,Real Estate
CCK,Materials
CSX,Industrials
CUBE,Real Estate
CMI,Industrials
CW,Industrials
CVS,Health Care
DHI,Consumer Discretionary
DHR,Health Care
DRI,Consumer Discretionary
DAR,Consumer Staples
DVA,Health Care
DECK,Consumer Discretionary
DE,Industrials
DAL,Industrials
XRAY,Health Care
DVN,Energy
DXCM,Health Care
FANG,Energy
DKS,Consumer Discretionary
DLR,Real Estate
DFS,Financials
DISH,Communication Services
DOCU,Information Technology
DLB,Information Technology
DG,Consumer Staples
DLTR,Consumer Staples
D,Utilities
DPZ,Consumer Discretionary
DCI,Industrials
DOV,Industrials
DBX,Information Technology
DTE,Utilities
DUK,Utilities
DD,Materials
DXC,Information Technology
EXP,Materials
EWBC,Financials
EGP,Real Estate
EMN,Materials
ETN,Industrials
EBAY,Consumer Discretionary
ECL,Materials
EIX,Utilities
EW,Health Care
ELAN,Health Care
ESTC,Information Technology
EA,Communication Services
ESI,Materials
ELV,Health Care
EME,Industrials
EMR,Industrials
EHC,Health Care
ENOV,Health Care
ENPH,Information Technology
ENTG,Information Technology
ETR,Utilities
EOG,Energy
EPAM,Information Technology
EPR,Real Estate
EQT,Energy
EFX,Industrials
EQIX,Real Estate
EQH,Financials
ELS,Real Estate
EQR,Real Estate
WTRG,Utilities
ESS,Real Estate
EL,Consumer Staples
ETSY,Consumer Discretionary
EEFT,Financials
EVR,Financials
EG,Financials
EVRG,Utilities
ES,Utilities
EXAS,Health Care
EXEL,Health Care
EXC,Utilities
EXPE,Consumer Discretionary
EXPD,Industrials
EXR,Real Estate
XOM,Energy
FFIV,Information Technology
FDS,Financials
FAST,Industrials
FRT,Real Estate
FDX,Industrials
FICO,Information Technology
FNF,Financials
FITB,Financials
FAF,Financials
FCNCA,Financials
FHB,Financials
FHN,Financials
FR,Real Estate
FSLR,Information Technology
FE,Utilities
FIS,Financials
FI,Financials
FIVE,Consumer Discretionary
FIVN,Information Technology
FLT,Financials
FND,Consumer Discretionary
FLS,Industrials
FMC,Materials
FNB,Financials
F,Consumer Discretionary
FTNT,Information Technology
FTV,Industrials
FBIN,Industrials
